Node label	Matching Sequences
SRR1572688	SRR1572688
	SRR1572689
En_Tibi	En_Tibi
	SRR1572243
	SRR1572284
	SRR1572309
	SRR1572312
	SRR1572314
	SRR1572316
	SRR1572321
	SRR1572326
	SRR1572328
	SRR1572338
	SRR1572348
	SRR1572361
	SRR1572362
	SRR1572366
	SRR1572372
	SRR1572378
	SRR1572379
	SRR1572380
	SRR1572382
	SRR1572392
	SRR1572393
	SRR1572401
	SRR1572402
	SRR1572406
	SRR1572416
	SRR1572418
	SRR1572421
	SRR1572427
	SRR1572431
	SRR1572433
	SRR1572435
	SRR1572437
	SRR1572438
	SRR1572439
	SRR1572442
	SRR1572471
	SRR1572480
	SRR1572482
	SRR1572524
	SRR1572530
	SRR1572541
	SRR1572546
	SRR1572575
	SRR1572593
	SRR1572608
	SRR1572621
	SRR1572626
	SRR1572630
	SRR1572632
SRR1572234	SRR1572234
	SRR1572248
	SRR1572254
	SRR1572256
	SRR1572329
	SRR1572376
	SRR1572443
	SRR1572449
	SRR1572233
	SRR1572235
	SRR1572236
	SRR1572239
	SRR1572246
	SRR1572250
	SRR1572251
	SRR1572259
	SRR1572271
	SRR1572274
	SRR1572275
	SRR1572276
	SRR1572277
	SRR1572281
	SRR1572282
	SRR1572288
	SRR1572289
	SRR1572292
	SRR1572446
	SRR1572450
SRR1572311	SRR1572311
	SRR1572330
	SRR1572428
	SRR1572545
	SRR1572556
	SRR1572558
	SRR1572623
SRR1572385	SRR1572385
	SRR1572397
SRR1572240	SRR1572240
	SRR1572270
SRR1572249	SRR1572249
	SRR1572374
SRR1572694	SRR1572694
	SRR1572695
